Year,Temp (K)
307,287.47123554708600
308,287.4382930782930
309,287.4953246983520
310,287.53142282244400
311,287.3905148824920
312,287.4006050745980
313,287.40835381978300
314,287.4981349374310
315,287.5795057147000
316,287.51290134102400
317,287.4743249136900
318,287.3433196323010
319,287.4003007893320
320,287.4093509307800
321,287.3599762094430
322,287.44637206035700
323,287.4954242119120
324,287.4634329383280
325,287.3284314261760
326,287.44913135468700
327,287.37413255452000
328,287.4847080214840
329,287.53128110717900
330,287.4560209041030
331,287.40854896387400
332,287.41384115204600
333,287.407205216072
334,287.37331985200600
335,287.4616407360790
336,287.45869528152900
337,287.44289296935200
338,287.48351076410200
339,287.4712259657070
340,287.48943355096200
341,287.46588063766300
342,287.46257731520100
343,287.4646444723630
344,287.41095695078300
345,287.4095880356000
346,287.40813355307000
347,287.4168958830640
348,287.52094187289400
349,287.4537586128820
350,287.4922335838210
351,287.50699227792100
352,287.46565115180300
353,287.52828404758600
354,287.480391902635
355,287.5074866159830
356,287.42045123993
357,287.3586170206140
358,287.405664457506
359,287.40437382382200
360,287.3402350651850
361,287.38787695221900
362,287.3935512126720
363,287.45664753682900
364,287.52855759690500
365,287.51515306194700
366,287.31484041642300
367,287.46216043301000
368,287.53936207147800
369,287.5449208599660
370,287.4336617807490
371,287.3676139062670
372,287.47334043683700
373,287.44009558245200
374,287.4155585609370
375,287.51245819603100
376,287.4763146187350
377,287.4697571682510
378,287.4430266472080
379,287.3346217075260
380,287.37951409454100
381,287.4446036684870
382,287.3617907009840
383,287.40012151919200
384,287.39994880417400
385,287.4128129970770
386,287.3442898662650
387,287.40428323841400
388,287.3911757483700
389,287.3404184103640
390,287.39572914723900
391,287.4068995461460
392,287.34203378329700
393,287.3746163982050
394,287.28369378612100
395,287.4033828337550
396,287.4106249585180
397,287.4979549999240
398,287.4922187276880
399,287.39103197789900
400,287.38195312166300
401,287.43989420544800
402,287.4909827085200
403,287.4270388338150
404,287.30162758451000
405,287.472121593793
406,287.4020877373840
407,287.4700304695870
408,287.44031311307200
409,287.42800118641100
410,287.39061829652200
411,287.4598397126620
412,287.45551760672700
413,287.4913003908080
414,287.5393129348320
415,287.4138315779550
416,287.4131606927960
417,287.47602725218600
418,287.45448008731700
419,287.44869917107500
420,287.4962019730390
421,287.46959468147300
422,287.4452729285780
423,287.44078854119700
424,287.42974499397900
425,287.4111170320090
426,287.4730674723080
427,287.4065353940150
428,287.5424918837800
429,287.4266745069600
430,287.458860672188
431,287.4798159597860
432,287.52172017017900
433,287.4133990582530
434,287.3198546890760
435,287.35006780676500
436,287.42754204578900
437,287.52128845464400
438,287.50071506102200
439,287.4157704464150
440,287.36422623871500
441,287.31210522657600
442,287.41678695801300
443,287.55851550532300
444,287.410645348602
445,287.45630059986200
446,287.42267488979800
447,287.5120765156990
448,287.44270529330500
449,287.41735769772400
450,287.53281944056300
451,287.4400142728500
452,287.4412544715840
453,287.53184739418600
454,287.4110956028660
455,287.47528091969800
456,287.51799125991000
457,287.5150339047810
458,287.53469853996800
459,287.565785548508
460,287.3901694729240
461,287.3646918691350
462,287.4678050190450
463,287.4571387939540
464,287.44693835516800
465,287.4429182475530
466,287.4086060484600
467,287.31589403057900
468,287.3999990637930
469,287.28966674003300
470,287.3446783251450
471,287.3150313042350
472,287.34527311628000
473,287.3576249081820
474,287.4724658008560
475,287.44259510686000
476,287.452160680718
477,287.36149700154500
478,287.35127377301500
479,287.41086572798800
480,287.4995472204000
481,287.429422586608
482,287.4403774117050
483,287.460766496363
484,287.4373686474990
485,287.44293364088100
486,287.5470488990150
487,287.42350989650500
488,287.3995442298420
489,287.2922413891080
490,287.3887590489880
491,287.38495934979000
492,287.44873875175300
493,287.44363628230600
494,287.4354326776810
495,287.50702362905600
496,287.45777033686200
497,287.3509972448620
498,287.46167837100200
499,287.49548453457100
500,287.45150966675900
501,287.47938798819300
502,287.4023488130380
503,287.42853411256800
504,287.4744911643500
505,287.45668683019700
506,287.4743115425430
507,287.35226881318800
508,287.41092624848000
509,287.4051577438030
510,287.408404835762
511,287.4788454322890
512,287.4342252201540
513,287.5252845548090
514,287.5203601875400
515,287.46782872789600
516,287.42701213200200
517,287.5265794771460
518,287.5437777652710
